student_id,topic_id,timestamp,correct
student_1,topic_9,2025-08-30T18:19:27.058537,1
student_1,topic_1,2025-08-30T19:45:27.058537,0
student_1,topic_9,2025-08-31T05:51:27.058537,1
student_1,topic_5,2025-08-31T09:32:27.058537,1
student_1,topic_2,2025-08-31T12:06:27.058537,1
student_1,topic_8,2025-08-31T22:46:27.058537,0
student_1,topic_8,2025-08-31T23:21:27.058537,0
student_1,topic_10,2025-09-01T08:19:27.058537,0
student_1,topic_8,2025-09-01T09:38:27.058537,1
student_1,topic_1,2025-09-01T10:58:27.058537,0
student_1,topic_8,2025-09-01T15:28:27.058537,0
student_1,topic_7,2025-09-01T18:21:27.058537,1
student_1,topic_8,2025-09-02T05:21:27.058537,0
student_1,topic_9,2025-09-02T22:12:27.058537,1
student_1,topic_6,2025-09-03T02:56:27.058537,1
student_1,topic_5,2025-09-03T07:54:27.058537,1
student_1,topic_10,2025-09-03T10:33:27.058537,1
student_1,topic_4,2025-09-04T06:58:27.058537,0
student_1,topic_6,2025-09-04T12:59:27.058537,0
student_1,topic_5,2025-09-04T14:03:27.058537,1
student_1,topic_1,2025-09-04T14:29:27.058537,0
student_1,topic_6,2025-09-04T17:34:27.058537,0
student_1,topic_2,2025-09-05T08:54:27.058537,1
student_1,topic_5,2025-09-05T10:30:27.058537,0
student_1,topic_4,2025-09-05T11:06:27.058537,1
student_1,topic_12,2025-09-05T19:10:27.058537,0
student_1,topic_4,2025-09-06T04:06:27.058537,0
student_1,topic_9,2025-09-06T12:38:27.058537,1
student_1,topic_1,2025-09-07T05:47:27.058537,0
student_1,topic_3,2025-09-07T08:15:27.058537,0
student_1,topic_3,2025-09-07T13:43:27.058537,0
student_1,topic_8,2025-09-07T23:05:27.058537,0
student_1,topic_7,2025-09-08T02:43:27.058537,1
student_1,topic_5,2025-09-08T03:16:27.058537,1
student_1,topic_4,2025-09-08T05:37:27.058537,1
student_1,topic_7,2025-09-08T12:04:27.058537,0
student_1,topic_7,2025-09-09T01:28:27.058537,0
student_1,topic_1,2025-09-10T20:55:27.058537,0
student_1,topic_10,2025-09-10T22:51:27.058537,0
